engine_type,bypass_ratio,press_ratio,rated_output,ambient_baro,ambient_temp,ambient_humidity,fuel_flow_to
1,8.6,35.1,360.62,98.07,292,0.00935,2.824
1,8.53,34.88,360.6,97.75,280.35,0.0043,2.781
1,8.53,34.88,360.6,97.75,280.35,0.0043,2.781
1,8.6,35.45,354.32,98.535,279.25,0.0029,2.981
1,8.53,35.5,363.22,98.535,279.25,0.0029,2.796
1,8.6,35.2,363.42,97.985,286.5,0.00415,2.84
1,8.58,35.3,363.42,98.07,292,0.00935,2.832
1,8.52,35.1,363.4,97.75,280.35,0.0043,2.806
1,8.58,35.68,357.07,98.535,279.25,0.0029,2.992
1,8.52,35.8,366.75,98.535,279.25,0.0029,2.83
1,8.4,38.1,395.31,97.985,286.5,0.00413,3.19
1,8.44,38,395.31,98.07,292,0.00935,3.169
1,8.41,37.7,395.3,97.75,280.35,0.0043,3.115
1,8.44,38.37,388.4,98.535,279.25,0.0029,3.182
1,8.41,38.16,397.21,98.535,279.25,0.0029,3.131
1,8.4,39.7,418.13,97.985,286.5,0.00415,3.419
1,8.36,39.8,418.13,98.07,292,0.00935,3.414
1,8.36,39.38,418.1,97.75,280.35,0.0043,3.348
1,8.36,40.32,410.82,98.535,279.25,0.0029,3.436
1,8.36,39.85,419.25,98.535,279.25,0.0029,3.38
1,8.4,40.4,426.72,97.985,286.5,0.00415,3.523
1,8.33,40.6,426.72,98.07,292,0.00935,3.515
1,8.33,40.53,432.8,97.75,280.35,0.0043,3.514
1,8.33,40.53,432.8,97.75,280.35,0.0043,3.514
1,8.33,40.82,430.92,98.535,279.25,0.0029,3.513
1,9.4,35.2,255.3,98,289.75,0.005305,1.878
1,9.2,37.2,271.3,98,289.75,0.005305,2.019
1,9,40.6,298,98,289.75,0.005305,2.265
1,8.9,41.9,308.7,98,289.75,0.005305,2.368
1,8.8,43.5,321.6,98,289.75,0.005305,2.494
1,8,42.4,299.8,98,289.75,0.005305,2.451
1,9.4,35.1,255.3,98,289.75,0.005305,1.893
1,9.2,37.1,271.3,98,289.75,0.005305,2.033
1,9,40.5,298,98,289.75,0.005305,2.278
1,8.9,41.9,308.7,98,289.75,0.005305,2.38
1,8.8,43.5,321.6,98,289.75,0.005305,2.505
1,8.8,43.5,321.6,98,289.75,0.005305,2.505
1,8.8,43.5,321.6,98,289.75,0.005305,2.505
1,8.8,46,341.2,98,289.75,0.005305,2.709
